ligand	receptor	sources	references	databases	n_databases
ALDH1A2	RARG	uniprot;reactome		CellPhoneDB	1
ALDH1A2	RORB	uniprot		CellPhoneDB	1
ALDH1A2	RXRA	uniprot;reactome		CellPhoneDB	1
ALDH1A2	RXRB	uniprot;reactome		CellPhoneDB	1
ALDH1A2	RXRG	uniprot;reactome		CellPhoneDB	1
ALDH1A3	CRABP2	uniprot;reactome		CellPhoneDB	1
ALDH1A3	RARA	uniprot;reactome		CellPhoneDB	1
ALDH1A3	RARB	uniprot;reactome		CellPhoneDB	1
ALDH1A3	RARG	uniprot;reactome		CellPhoneDB	1
ALDH1A3	RORB	uniprot		CellPhoneDB	1
ALDH1A3	RXRA	uniprot;reactome		CellPhoneDB	1
ALDH1A3	RXRB	uniprot;reactome		CellPhoneDB	1
ALDH1A3	RXRG	uniprot;reactome		CellPhoneDB	1
ALOX12	CYSLTR1	HMRbase		CellPhoneDB	1
ALOX12	FPR2	HMRbase;uniprot		CellPhoneDB	1
ALOX5	CYSLTR1	HMRbase;HMRbase;uniprot;reactome		CellPhoneDB	1
ALOX5	CYSLTR2	HMRbase;uniprot;reactome		CellPhoneDB	1
ALOX5	FPR2	HMRbase;uniprot		CellPhoneDB	1
ALOX5	GPR17	uniprot;reactome		CellPhoneDB	1
ALOX5	OXER1	HMRbase;uniprot		CellPhoneDB	1
ALOX5AP	CYSLTR1	HMRbase;HMRbase;uniprot;reactome		CellPhoneDB	1
ALOX5AP	CYSLTR2	HMRbase;uniprot;reactome		CellPhoneDB	1
ALOX5AP	FPR2	HMRbase;uniprot		CellPhoneDB	1
ALOX5AP	GPR17	uniprot;reactome		CellPhoneDB	1
ALOX5AP	OXER1	HMRbase;uniprot		CellPhoneDB	1
AMH	ACVR1	PMID:22710174	PMID:22710174	CellPhoneDB	1
AMH	AMHR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
AMH	BMPR1A	PMID:22710174	PMID:22710174	CellPhoneDB	1
AMH	BMPR1B	PMID:22710174	PMID:22710174	CellPhoneDB	1
ANGPT1	TEK	uniprot		CellPhoneDB	1
ANGPT2	TEK	uniprot		CellPhoneDB	1
ANGPT4	TEK	uniprot		CellPhoneDB	1
ANXA1	FPR1	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		CellPhoneDB	1
ANXA1	FPR2	PMID:22610094;reactome	PMID:22610094;reactome	CellPhoneDB	1
ANXA1	FPR3	reactome		CellPhoneDB	1
APELA	APLNR	uniprot		CellPhoneDB	1
APLN	APLNR	uniprot		CellPhoneDB	1
APLP2	PIGR	Shilts screen - VALIDATED		CellPhoneDB	1
APLP2	PLXNA4	Shilts screen - VALIDATED		CellPhoneDB	1
APOA1	ABCA1	reactome		CellPhoneDB	1
APOA1	AMN	reactome		CellPhoneDB	1
APOA1	CUBN	reactome		CellPhoneDB	1
APOA1	TREM2	uniprot;PMID:27477018		CellPhoneDB	1
APOA1	TYROBP	uniprot;PMID:27477018		CellPhoneDB	1
APOA2	TREM2	uniprot;PMID:27477017		CellPhoneDB	1
APOA2	TYROBP	uniprot;PMID:27477017		CellPhoneDB	1
APOB	APOBR	uniprot		CellPhoneDB	1
APOB	TREM2	uniprot;PMID:27477016		CellPhoneDB	1
APOB	TYROBP	uniprot;PMID:27477016		CellPhoneDB	1
APOE	TREM2	uniprot;PMID:27477015		CellPhoneDB	1
APOE	TYROBP	uniprot;PMID:27477015		CellPhoneDB	1
APP	CD74	PMID:19849849	PMID:19849849	CellPhoneDB	1
APP	FPR2	reactome		CellPhoneDB	1
APP	PLXNA4	Shilts screen - VALIDATED		CellPhoneDB	1
APP	SORL1	uniprot		CellPhoneDB	1
APP	TNFRSF21	uniprot		CellPhoneDB	1
APP	TREM2	uniprot;PMID:27477013		CellPhoneDB	1
APP	TYROBP	uniprot;PMID:27477013		CellPhoneDB	1
AREG	EGFR	uniprot		CellPhoneDB	1
ARTN	GFRA1	uniprot		CellPhoneDB	1
ARTN	GFRA3	uniprot		CellPhoneDB	1
ARTN	RET	uniprot		CellPhoneDB	1
ASIP	MC1R	uniprot		CellPhoneDB	1
ASMT	MTNR1A	uniprot;reactome		CellPhoneDB	1
ASMT	MTNR1B	uniprot;reactome		CellPhoneDB	1
AVP	AVPR1A	reactome		CellPhoneDB	1
AVP	AVPR1B	reactome		CellPhoneDB	1
AVP	AVPR2	reactome		CellPhoneDB	1
AVP	OXTR	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		CellPhoneDB	1
B2M	IL6ST	Shilts screen - VALIDATED		CellPhoneDB	1
BAG6	NCR3	activating_interaction_from_uniprot		CellPhoneDB	1
BDNF	NGFR	uniprot		CellPhoneDB	1
BDNF	NTRK2	uniprot		CellPhoneDB	1
BDNF	SORT1	uniprot		CellPhoneDB	1
BMP10	ACVR2A	PMID:25136781	PMID:25136781	CellPhoneDB	1
BMP10	ACVRL1	PMID:22710174;PMID:25136781	PMID:22710174;PMID:25136781	CellPhoneDB	1
BMP10	BMPR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP15	ACVR1B	PMID:1218020110	PMID:1218020110	CellPhoneDB	1
