source_genesymbol	target_genesymbol	references	sources
RUNX1	ALOX12	20181616	TRRUST_from_CollecTRI
TAF1	AR	20181722	TRRUST_from_CollecTRI
NR1I2	THRSP	19437491;20185760	TRRUST_from_CollecTRI
RELA	AKT1	18031796;20186924;20649564	TRRUST_from_CollecTRI
RFX1	FGF1	20189986;22415835	TRRUST_from_CollecTRI
MYCN	BMI1	20190806;21856782	TRRUST_from_CollecTRI
GFI1	CDKN1A	16287849;20190815	TRRUST_from_CollecTRI
ID3	TCF3	20191379;24492847	TRRUST_from_CollecTRI
AR	CDH11	20191612	TRRUST_from_CollecTRI
NR2F2	TFAP2A	20195529	TRRUST_from_CollecTRI
E2F1	SERPINB5	20197383	TRRUST_from_CollecTRI
BMAL1	PER3	20215567;20576619;20852621;22750052	TRRUST_from_CollecTRI
STAT1	EDN1	20217138	TRRUST_from_CollecTRI
WT1	CXXC5	20220130	TRRUST_from_CollecTRI
XBP1	VEGFA	20221394;20824063	TRRUST_from_CollecTRI
RFX1	CD70	20223637;21192791	TRRUST_from_CollecTRI
RFX1	ITGAL	20223637;21192791	TRRUST_from_CollecTRI
RELA	CRHR1	20233629	TRRUST_from_CollecTRI
WT1	IRF8	20237505	TRRUST_from_CollecTRI
NFE2L2	CFTR	20309604	TRRUST_from_CollecTRI
THRA	CGA	20352046;9709914	TRRUST_from_CollecTRI
KLF4	CDH1	20356845;21746878;22407433;22854048;23376074;23451207	TRRUST_from_CollecTRI
RELA	MMP3	11376631;20360864;22253074	TRRUST_from_CollecTRI
ATF2	RETN	20360975	TRRUST_from_CollecTRI
NCOA1	EPO	20368990	TRRUST_from_CollecTRI
NCOA3	EPO	20368990	TRRUST_from_CollecTRI
SP1	FOXM1	20372080;23598278	TRRUST_from_CollecTRI
STAT1	IFNLR1	20372826	TRRUST_from_CollecTRI
E2F1	PIN1	20376080;20922712	TRRUST_from_CollecTRI
HBP1	MIF	20383199	TRRUST_from_CollecTRI
NR3C1	BGLAP	2038339;8213259;8218210;9303434;9388207	TRRUST_from_CollecTRI
KLF4	GDF15	20385121;22750490	TRRUST_from_CollecTRI
DNMT1	TNFRSF10B	20398055	TRRUST_from_CollecTRI
ATF3	ADIPOR2	20423458;20696134	TRRUST_from_CollecTRI
EBF1	ATF5	20423929	TRRUST_from_CollecTRI
MYCN	SKP2	17495526;20424123	TRRUST_from_CollecTRI
SP1	NFKB1	20427719;20538607;9151857	TRRUST_from_CollecTRI
SP1	HSD11B2	17551100;20427719;21411560;23714681	TRRUST_from_CollecTRI
YY1	NOS2	19402223;20430007	TRRUST_from_CollecTRI
NFIC	VWF	11895773;20431063	TRRUST_from_CollecTRI
SP3	CCND1	20435036;22334592	TRRUST_from_CollecTRI
SP4	CCND1	20435036;22334592	TRRUST_from_CollecTRI
IRF1	IL27	17227910;17548596;17684041;17985330;20083668;20435892;24214980;26900987	TRRUST_from_CollecTRI
HIF1A	CCN2	15315937;17034590;20450254;23530034	TRRUST_from_CollecTRI
SREBF2	FDPS	12177166;20450493	TRRUST_from_CollecTRI
AHR	ABCG2	15917307;20460431;20804740;21357443;21678497	TRRUST_from_CollecTRI
SP3	FOXP3	20462637	TRRUST_from_CollecTRI
RELA	FOXP3	20064450;20462637;21268019;21508258;23178569	TRRUST_from_CollecTRI
HOXA10	KLF9	20463357	TRRUST_from_CollecTRI
SPI1	ZNF300	20471086	TRRUST_from_CollecTRI
CREB3	CXCR4	20473547	TRRUST_from_CollecTRI
JUN	BEX2	20482821;21384344	TRRUST_from_CollecTRI
IRF3	CCL2	20483755	TRRUST_from_CollecTRI
PPARG	ERP44	20484463	TRRUST_from_CollecTRI
GCM1	ERVFRD-1	20484742	TRRUST_from_CollecTRI
GCM1	MFSD2A	20484742	TRRUST_from_CollecTRI
POU5F1	CDX2	14990861;17068183;23743205	TRRUST_from_CollecTRI
GATA1	ALAS2	2050125;23935018;5343	TRRUST_from_CollecTRI
ZNF24	PDGFRB	20510677	TRRUST_from_CollecTRI
ATF4	MAP1LC3B	20038797;20514020	TRRUST_from_CollecTRI
EGR1	FAP	20515787	TRRUST_from_CollecTRI
NRL	RBP3	15277472;20517486	TRRUST_from_CollecTRI
MED1	VDR	17229570	TRRUST_from_CollecTRI
SATB1	IL5	20522714	TRRUST_from_CollecTRI
SOX9	BEST1	20530484	TRRUST_from_CollecTRI
REST	SYN1	11741002;12492469;15654842;18692536;20530487;21693630;23250796;9756936;9820593	TRRUST_from_CollecTRI
PRDM1	MKI67	20530581	TRRUST_from_CollecTRI
PRDM1	PCNA	20530581	TRRUST_from_CollecTRI
CREB1	PPP2R2B	20533062	TRRUST_from_CollecTRI
SP1	PPP2R2B	20533062	TRRUST_from_CollecTRI
TFAP4	PPP2R2B	20533062	TRRUST_from_CollecTRI
STAT1	UPP1	20544543	TRRUST_from_CollecTRI
SPDEF	MMP9	20550708;22761428	TRRUST_from_CollecTRI
GCM2	PTH	20558332;21713993	TRRUST_from_CollecTRI
ERG	CXCR4	19396168;20563261;23918819	TRRUST_from_CollecTRI
ATF4	DDR2	20564243	TRRUST_from_CollecTRI
HNF1A	CDH17	20568120	TRRUST_from_CollecTRI
NFKB1	MMP13	12734180;19022820;20579762	TRRUST_from_CollecTRI
STAT5B	BCL2L1	11756417;20585448;22729867	TRRUST_from_CollecTRI
SP1	ACVRL1	20587022;23048070	TRRUST_from_CollecTRI
AR	ERBB3	20587519;21741601	TRRUST_from_CollecTRI
CREB1	NRF1	20587593	TRRUST_from_CollecTRI
RELA	NRF1	20587593	TRRUST_from_CollecTRI
SP1	KCTD11	20591193	TRRUST_from_CollecTRI
TP53	ANKRD1	20599664;22016770	TRRUST_from_CollecTRI
ELF1	MEIS1	20600580	TRRUST_from_CollecTRI
HNF4A	C1QTNF5	20621834	TRRUST_from_CollecTRI
HSF1	CDKN1A	20622894	TRRUST_from_CollecTRI
ESR1	NQO1	20623181	TRRUST_from_CollecTRI
FOXA1	UGT2B17	20628005;20736324	TRRUST_from_CollecTRI
MYC	TFRC	12695333;14519204;16466700;20631077;3302722	TRRUST_from_CollecTRI
IRF1	TRIM22	20631312;21683060;23659673;23670564;23729439	TRRUST_from_CollecTRI
XBP1	NOS2	20637858	TRRUST_from_CollecTRI
ELK4	FOS	11846562;20637912;23063436;8764983;8986626;9111305;9130707;9734357	TRRUST_from_CollecTRI
SP1	SOCS1	20644166	TRRUST_from_CollecTRI
GLI1	CDK2	20647328	TRRUST_from_CollecTRI
STAT6	ITGA2B	20652946	TRRUST_from_CollecTRI
DDIT3	ATF5	16164412	TRRUST_from_CollecTRI
FOXO3	TXNIP	18226221;19690465;20656682	TRRUST_from_CollecTRI
SIRT1	PPARG	15850715;21633182	TRRUST_from_CollecTRI
YY1	ADORA2A	20666933	TRRUST_from_CollecTRI
SOX5	SPAG6	20668334	TRRUST_from_CollecTRI
ESR1	CYP2C19	20675569	TRRUST_from_CollecTRI
LMO2	ERG	20676125;21536859	TRRUST_from_CollecTRI
IRF8	GAS2	20679491	TRRUST_from_CollecTRI
ETV6	GAS2	20679491	TRRUST_from_CollecTRI
MYC	CDK6	12835716;20682794;22395148	TRRUST_from_CollecTRI
ZNF382	CDK6	20682794	TRRUST_from_CollecTRI
MYB	KLF1	20686118	TRRUST_from_CollecTRI
MYB	LMO2	20686118	TRRUST_from_CollecTRI
STAT3	ROR1	20686606	TRRUST_from_CollecTRI
ATF3	ADIPOR1	20696134	TRRUST_from_CollecTRI
JUN	CCN2	20697347;20711235	TRRUST_from_CollecTRI
CDX2	ABCB1	20699370	TRRUST_from_CollecTRI
ATF2	DUSP1	17681939;20702711;24126911	TRRUST_from_CollecTRI
MTA2	CDH1	20714342	TRRUST_from_CollecTRI
ESR1	ZFHX3	18414489;21367855	TRRUST_from_CollecTRI
NRF1	SLC46A1	20724482	TRRUST_from_CollecTRI
KLF4	CDH5	20724706	TRRUST_from_CollecTRI
SREBF2	PON1	20728021	TRRUST_from_CollecTRI
LMO2	ZEB1	20731704	TRRUST_from_CollecTRI
CTCF	BCL6	20733034	TRRUST_from_CollecTRI
FOXA1	UGT2B15	20736324	TRRUST_from_CollecTRI
TFCP2	TF	20796026	TRRUST_from_CollecTRI
TSC22D1	CNP	20802130;9022669	TRRUST_from_CollecTRI
TCF7L2	ACVRL1	20803090	TRRUST_from_CollecTRI
TP53	ELF4	20805247	TRRUST_from_CollecTRI
ELF4	TP53	20805247	TRRUST_from_CollecTRI
YY1	COX7C	20805357;9092564	TRRUST_from_CollecTRI
SRF	FXN	20808827	TRRUST_from_CollecTRI
RELA	STAT3	25040843	TRRUST_from_CollecTRI
FOXO3	SIRT6	20816089	TRRUST_from_CollecTRI
DLX4	BRCA1	20818429;20877436;21914189;23303449	TRRUST_from_CollecTRI
HNF1A	SLC22A9	20829431	TRRUST_from_CollecTRI
STAT1	CXCL10	12754213;15006601;17558387;19136629;19479051;20585034;20833730;22022583;23153456;23740952;24127910;25199798;28262979;9690917;9858321	TRRUST_from_CollecTRI
WT1	SMAD3	20842112	TRRUST_from_CollecTRI
ETS1	NKX3-1	20842667	TRRUST_from_CollecTRI
CLOCK	PER3	20852621;22750052	TRRUST_from_CollecTRI
FOXP2	PLAUR	20858596;21711233	TRRUST_from_CollecTRI
FOXP2	SRPX2	20858596;21711233	TRRUST_from_CollecTRI
SPI1	CSF3R	10453008;20864248;7964503;8695841	TRRUST_from_CollecTRI
RUNX1	MYL9	20876458;22898599	TRRUST_from_CollecTRI
ZNF350	ATXN2	20926453	TRRUST_from_CollecTRI
REST	KCNQ2	20926649	TRRUST_from_CollecTRI
REST	KCNQ3	20926649	TRRUST_from_CollecTRI
SP1	KCNQ2	20926649	TRRUST_from_CollecTRI
SP1	KCNQ3	20926649	TRRUST_from_CollecTRI
RELA	MUC5B	20935193	TRRUST_from_CollecTRI
DNMT1	EPCAM	20940408;24489952	TRRUST_from_CollecTRI
SPI1	MME	15892171;20947507	TRRUST_from_CollecTRI
TP53	KLF2	20947822;23202365	TRRUST_from_CollecTRI
PPARA	PLIN2	16282640;17150915;20030713;20950277	TRRUST_from_CollecTRI
PRDM14	POU5F1	20953172	TRRUST_from_CollecTRI
PHOX2B	ALK	20957039	TRRUST_from_CollecTRI
NFYA	DDIT3	20023394	TRRUST_from_CollecTRI
ERG	ICAM1	20966395;22235125;22337883	TRRUST_from_CollecTRI
CEBPD	DDIT3	20971808;22347430	TRRUST_from_CollecTRI
E2F1	DDIT3	20971808	TRRUST_from_CollecTRI
RB1	DDIT3	20971808	TRRUST_from_CollecTRI
FOXI1	CFTR	20972246	TRRUST_from_CollecTRI
TP63	KLF4	20972454	TRRUST_from_CollecTRI
GLI1	MUC5AC	20972463	TRRUST_from_CollecTRI
GLI2	MUC5AC	20972463	TRRUST_from_CollecTRI
E2F1	THBS1	20976175	TRRUST_from_CollecTRI
FOS	ERCC4	20976523	TRRUST_from_CollecTRI
FOXO3	BBC3	16801400;20978166;21654193;24567336	TRRUST_from_CollecTRI
SREBF1	LRP1	20980003	TRRUST_from_CollecTRI
ERG	VWF	19359602;20980682;22235125;9444957	TRRUST_from_CollecTRI
SP1	EPOR	21029371;23577103;7659529;8521844	TRRUST_from_CollecTRI
STAT5A	CDKN2B	21038417;22723377	TRRUST_from_CollecTRI
GATA1	CCR3	21041734;22217447	TRRUST_from_CollecTRI
SNAI2	UBE2D3	21044962	TRRUST_from_CollecTRI
DLX5	IRS2	21045156	TRRUST_from_CollecTRI
SP1	ABCB8	21046154	TRRUST_from_CollecTRI
USF1	CEACAM1	21050451;8055923	TRRUST_from_CollecTRI
IRF1	CEACAM1	21050451	TRRUST_from_CollecTRI
USF1	IFNG	21050451;8900159	TRRUST_from_CollecTRI
NRF1	PRDX3	21051700	TRRUST_from_CollecTRI
NRF1	PRDX5	21051700	TRRUST_from_CollecTRI
STAT1	IFIT3	17050680;17933493;21056555	TRRUST_from_CollecTRI
POU2F1	RPTOR	21060808	TRRUST_from_CollecTRI
RARA	RPTOR	21060808	TRRUST_from_CollecTRI
MITF	KCNMA1	21072171	TRRUST_from_CollecTRI
SP1	SIGIRR	21077278;24821721	TRRUST_from_CollecTRI
SP1	CREM	21097497;21757709;22281835	TRRUST_from_CollecTRI
SFPQ	STAT6	21106524	TRRUST_from_CollecTRI
FOS	NGF	2111020;2849107;8473354;8717334;9221899	TRRUST_from_CollecTRI
CTCF	NF1	21111075	TRRUST_from_CollecTRI
NANOG	KDR	21119109	TRRUST_from_CollecTRI
FOS	GSTP1	2112105;8206948;8702826	TRRUST_from_CollecTRI
JUN	GSTP1	2112105;8206948;8702826	TRRUST_from_CollecTRI
VDR	DDIT4	21123297	TRRUST_from_CollecTRI
MYCN	NGFR	21123453	TRRUST_from_CollecTRI
MYCN	NTRK1	11107132;21123453	TRRUST_from_CollecTRI
SOX11	TUBB3	21124928	TRRUST_from_CollecTRI
RUNX3	TIMP1	21128246	TRRUST_from_CollecTRI
RUNX1	PF4	17150917;21129147;23848403	TRRUST_from_CollecTRI
YBX1	CDH1	17072343;21138866;21876555;24209753	TRRUST_from_CollecTRI
KLF8	MMP9	21151179	TRRUST_from_CollecTRI
FUS	AR	21909421	TRRUST_from_CollecTRI
ERG	TFF3	21170267	TRRUST_from_CollecTRI
AR	BTG2	16281084;21172304	TRRUST_from_CollecTRI
SPI1	IFIT3	21176776	TRRUST_from_CollecTRI
SNAI2	CXCL12	21182836;22074556	TRRUST_from_CollecTRI
SP1	BLMH	21190945	TRRUST_from_CollecTRI
KLF4	ATF3	21205742	TRRUST_from_CollecTRI
HIF1A	ALAS2	21207956	TRRUST_from_CollecTRI
NFIL3	AREG	1620116;21212137	TRRUST_from_CollecTRI
NFIL3	EREG	1620116;21212137	TRRUST_from_CollecTRI
ATF5	BCL2	21212266	TRRUST_from_CollecTRI
EZH2	PIP5K1C	21216957	TRRUST_from_CollecTRI
IRF8	TLR3	21220691	TRRUST_from_CollecTRI
EGR1	GGPS1	21224049;21983072	TRRUST_from_CollecTRI
TFAP4	SALL2	21228219;24040083	TRRUST_from_CollecTRI
EZH2	SATB1	21232178;21703114	TRRUST_from_CollecTRI
MYC	JUNB	12695333;18414489;18838534;2123531;7775604	TRRUST_from_CollecTRI
SP3	NOX4	21235713	TRRUST_from_CollecTRI
HIF1A	LOX	17685448;18037992;19828020;20956321;21239473	TRRUST_from_CollecTRI
ERG	WNT11	21242973;23913826	TRRUST_from_CollecTRI
ATF4	PTGS2	12057991;21244365	TRRUST_from_CollecTRI
ETS2	MMP1	21244711	TRRUST_from_CollecTRI
GATA3	MMP1	21244711	TRRUST_from_CollecTRI
RUNX1	PRKCQ	20019798;21252065	TRRUST_from_CollecTRI
REST	DYRK1A	21252229	TRRUST_from_CollecTRI
FOXD3	CAPN6	21255642	TRRUST_from_CollecTRI
POU2F1	CAPN6	21255642	TRRUST_from_CollecTRI
STAT3	MICA	21257710;23686482	TRRUST_from_CollecTRI
HSF2	HIF1A	21258402	TRRUST_from_CollecTRI
HSF4	HIF1A	21258402	TRRUST_from_CollecTRI
ELK1	MCL1	15542842;21258408;21362474;23158473;9880563	TRRUST_from_CollecTRI
SRF	MCL1	21258408;9880563	TRRUST_from_CollecTRI
SHOX	ACAN	21262861;24421874	TRRUST_from_CollecTRI
CREB1	NOLC1	21266110	TRRUST_from_CollecTRI
RELA	CD28	16365455;21268019;7623820	TRRUST_from_CollecTRI
TBX21	YY1	21272048	TRRUST_from_CollecTRI
MECP2	ESR1	15870696;21655924;23242655	TRRUST_from_CollecTRI
PGR	PLD1	21284604	TRRUST_from_CollecTRI
FOXQ1	CDH1	21285253;23403865	TRRUST_from_CollecTRI
ATF3	LDLR	21294679	TRRUST_from_CollecTRI
NR1H4	ABCC4	21296199;22291955	TRRUST_from_CollecTRI
SP1	DRG2	21296692	TRRUST_from_CollecTRI
FOXO1	HYOU1	21296878	TRRUST_from_CollecTRI
PITX1	TERT	21300782	TRRUST_from_CollecTRI
PPARA	CYP1A1	15521013;21304969	TRRUST_from_CollecTRI
AR	MUC1	21308711	TRRUST_from_CollecTRI
VDR	IL12B	21310195	TRRUST_from_CollecTRI
TP63	DELEC1	21317427	TRRUST_from_CollecTRI
TP53	PAX5	21319196	TRRUST_from_CollecTRI
PAX5	TP53	21319196;22105368;8521821	TRRUST_from_CollecTRI
CTCF	RBL2	21325284	TRRUST_from_CollecTRI
HIF1A	GAPDH	11955624;12193088;15132953;15967517;19828020;21338575	TRRUST_from_CollecTRI
SNAI1	FN1	21361876;22223884	TRRUST_from_CollecTRI
TP53	RASSF1	21364923;23038753;23779024	TRRUST_from_CollecTRI
TP53	UHRF1	18220474;19501055;21382456;23677994	TRRUST_from_CollecTRI
RARA	CDKN1A	10356361;21383775;24821728	TRRUST_from_CollecTRI
MTF1	SNCB	21386983	TRRUST_from_CollecTRI
SMAD4	POR	21393444	TRRUST_from_CollecTRI
GTF2I	SIRT1	21407215	TRRUST_from_CollecTRI
SOX10	PMP22	11734543;21411665	TRRUST_from_CollecTRI
AR	STIM1	21432868	TRRUST_from_CollecTRI
YY1	APH1A	21443683	TRRUST_from_CollecTRI
ETS1	TMEM131L	21445343;23117818;24280132	TRRUST_from_CollecTRI
IRF2	CXCR4	21447649	TRRUST_from_CollecTRI
RUNX1	VEGFA	17684492;21447743;23752185	TRRUST_from_CollecTRI
SP1	ATF2	12760745;2145272	TRRUST_from_CollecTRI
ATF3	CD82	21454613	TRRUST_from_CollecTRI
JUN	APOM	21454713	TRRUST_from_CollecTRI
JUNB	APOM	21454713	TRRUST_from_CollecTRI
MSX2	ABCG2	21465479	TRRUST_from_CollecTRI
SP1	ABCG2	21465479;23996530	TRRUST_from_CollecTRI
ATF3	ID1	20565867;21467165	TRRUST_from_CollecTRI
FOXD3	RND3	21478267	TRRUST_from_CollecTRI
TP63	ID2	21478550	TRRUST_from_CollecTRI
ATF2	FN1	10471826;21479385;8335091;8703044;9151819	TRRUST_from_CollecTRI
HOXD1	ITGB1	21501586	TRRUST_from_CollecTRI
CREB1	XPC	21507255	TRRUST_from_CollecTRI
GATA6	CAV1	21514437	TRRUST_from_CollecTRI
EZH2	SFRP1	21515604	TRRUST_from_CollecTRI
SP1	RGN	21526343	TRRUST_from_CollecTRI
SP1	ASPN	21528154	TRRUST_from_CollecTRI
MYC	TOP1MT	21531700	TRRUST_from_CollecTRI
SOX2	ABCC6	21531766	TRRUST_from_CollecTRI
KLF4	IFITM3	21531817	TRRUST_from_CollecTRI
FOXO4	SOD2	21536589	TRRUST_from_CollecTRI
ERG	ERG	21536859	TRRUST_from_CollecTRI
FLI1	ERG	21536859	TRRUST_from_CollecTRI
GATA3	ERG	21536859	TRRUST_from_CollecTRI
LYL1	ERG	21536859	TRRUST_from_CollecTRI
PAX5	FHL2	21540083	TRRUST_from_CollecTRI
ZBTB14	FHL2	21540083	TRRUST_from_CollecTRI
SMAD4	RUNX1T1	21540640	TRRUST_from_CollecTRI
RUNX2	LRP5	21542013	TRRUST_from_CollecTRI
STAT3	ESR2	21546410;23295773	TRRUST_from_CollecTRI
EZH2	CDKN1A	21546904;21572997;21629038;22956625;24074410	TRRUST_from_CollecTRI
EZH2	FBXO32	21546904;24213577	TRRUST_from_CollecTRI
SP1	HSD17B11	21549806	TRRUST_from_CollecTRI
CEBPA	HSD17B11	21549806	TRRUST_from_CollecTRI
LEF1	CHGA	21551321	TRRUST_from_CollecTRI
MTA1	CDKN2A	21555589	TRRUST_from_CollecTRI
TFAP2B	CRYAB	21556774	TRRUST_from_CollecTRI
TFAP2A	CRYAB	21556774	TRRUST_from_CollecTRI
STAT1	LY96	21572044	TRRUST_from_CollecTRI
NHLH2	ASCL1	21573214	TRRUST_from_CollecTRI
RELA	TRAF2	15041463;15723831;19392652;21573233;9733516	TRRUST_from_CollecTRI
KLF4	PFKP	21586797	TRRUST_from_CollecTRI
PAX8	E2F1	21602887	TRRUST_from_CollecTRI
SP3	CD2AP	21604172	TRRUST_from_CollecTRI
MBD2	POU5F1	17030610;21608077;22867868	TRRUST_from_CollecTRI
DNMT3A	POU5F1	21608077;22867868	TRRUST_from_CollecTRI
GATA4	HAMP	21609320	TRRUST_from_CollecTRI
NR1H4	KRT13	21619550	TRRUST_from_CollecTRI
NR5A1	STARD7	21622533	TRRUST_from_CollecTRI
SMAD3	FOXA2	21625455	TRRUST_from_CollecTRI
PGR	CYP19A1	18483177;21628418	TRRUST_from_CollecTRI
NFKB1	IL17C	21628458	TRRUST_from_CollecTRI
RELA	IL17C	21628458	TRRUST_from_CollecTRI
RUNX3	JAG1	21637926	TRRUST_from_CollecTRI
YBX1	AR	21652770	TRRUST_from_CollecTRI
YY1	BRCA1	21666725	TRRUST_from_CollecTRI
ERG	SPP1	21669963;23093599	TRRUST_from_CollecTRI
EN1	UTRN	21672318	TRRUST_from_CollecTRI
TP53	XPO1	21683812;22284678;24766216	TRRUST_from_CollecTRI
STAT3	COPS5	21689417	TRRUST_from_CollecTRI
GATA1	COPS5	21689417	TRRUST_from_CollecTRI
CTCF	ATXN7	21689595	TRRUST_from_CollecTRI
HOXB7	EGFR	21690342	TRRUST_from_CollecTRI
PITX3	MIP	21698120	TRRUST_from_CollecTRI
STAT3	IRF1	10068671;21723864;8168491;8647845;9325164	TRRUST_from_CollecTRI
MBD2	ADGRB1	21724586	TRRUST_from_CollecTRI
AR	FKBP4	21730179;23192983	TRRUST_from_CollecTRI
URI1	AR	21730289	TRRUST_from_CollecTRI
SP1	TINF2	21731707;9399940	TRRUST_from_CollecTRI
USF2	NR5A1	18165439;21734262	TRRUST_from_CollecTRI
AHR	MFSD2A	21736709	TRRUST_from_CollecTRI
ARNT	MFSD2A	21736709	TRRUST_from_CollecTRI
ESR1	RET	21737465;21947652;22878616	TRRUST_from_CollecTRI
ATF4	CHAC1	21737788;23615711	TRRUST_from_CollecTRI
AR	CDK20	21747169	TRRUST_from_CollecTRI
HOXA10	EMX2	12482956;15126568;15494461;17350963;21757506	TRRUST_from_CollecTRI
NFIC	FABP7	10896661;19540848;21771320;23839947	TRRUST_from_CollecTRI
POU3F2	FABP7	21771320	TRRUST_from_CollecTRI
MYC	IGF2BP1	21252116;21779431	TRRUST_from_CollecTRI
ATF5	EGR1	19531563;21791614	TRRUST_from_CollecTRI
YY1	HAS2	21795679	TRRUST_from_CollecTRI
STAT3	KRT17	21796151	TRRUST_from_CollecTRI
MYCN	DKK3	18059033;21796614	TRRUST_from_CollecTRI
SATB1	IL4	17057718;21799768	TRRUST_from_CollecTRI
KLF6	PSG5	21799854;23418492;9083102	TRRUST_from_CollecTRI
KLF6	PSG3	21799854	TRRUST_from_CollecTRI
TWIST2	POSTN	21801849	TRRUST_from_CollecTRI
AR	PIP	21809344	TRRUST_from_CollecTRI
RUNX2	PIP	21809344	TRRUST_from_CollecTRI
STAT6	SLC26A4	21814192;24429829	TRRUST_from_CollecTRI
ERG	CRISP3	21814574	TRRUST_from_CollecTRI
EGR1	SPRY1	21826097	TRRUST_from_CollecTRI
TP53	MET	21831840	TRRUST_from_CollecTRI
FOXP2	MET	21832174	TRRUST_from_CollecTRI
YY1	POSTN	21839814	TRRUST_from_CollecTRI
JUND	GAST	21852362	TRRUST_from_CollecTRI
FOXO3	VEGFA	21860419	TRRUST_from_CollecTRI
PITX2	SLC13A3	21873665	TRRUST_from_CollecTRI
RUNX1	CD34	21873977;23974199	TRRUST_from_CollecTRI
TWIST1	BMI1	21876555	TRRUST_from_CollecTRI
PAX2	ADAM10	21876729;21880579	TRRUST_from_CollecTRI
PAX2	L1CAM	21880579	TRRUST_from_CollecTRI
CUX1	ECT2	19015243;21886810	TRRUST_from_CollecTRI
E2F1	ECT2	19015243;21886810	TRRUST_from_CollecTRI
GATA3	LOX	21892208	TRRUST_from_CollecTRI
RELA	CSF1	10919279;11949945;18566389;21106671;21825016;21895511	TRRUST_from_CollecTRI
ESR1	FOXP1	18414489;21901488	TRRUST_from_CollecTRI
GATA1	RUNX1	16628190	TRRUST_from_CollecTRI
MYCN	LRRN3	21908575	TRRUST_from_CollecTRI
BCL3	CTCF	21912613	TRRUST_from_CollecTRI
NFKB1	CTCF	21912613	TRRUST_from_CollecTRI
NCOA3	BRCA1	21914189	TRRUST_from_CollecTRI
NFE2L2	CXCL8	16220540;21925595	TRRUST_from_CollecTRI
MAZ	HRAS	21931711	TRRUST_from_CollecTRI
FLI1	PF4	21931859;23848403	TRRUST_from_CollecTRI
FOXO1	IRS2	16906224;20501674;20685959;21933986	TRRUST_from_CollecTRI
SREBF2	HMGCR	17448444;18413311;19288057;20936497;21944868;31848472	TRRUST_from_CollecTRI
HEY1	BMP2	21945409	TRRUST_from_CollecTRI
NFIX	CHI3L1	21953450	TRRUST_from_CollecTRI
STAT3	CHI3L1	16293640;21953450	TRRUST_from_CollecTRI
MTA1	SUMO2	21965678	TRRUST_from_CollecTRI
JUNB	IVL	15790882;17882273;21966511;7759510	TRRUST_from_CollecTRI
CEBPD	PRL	10455153;21980073	TRRUST_from_CollecTRI
RARA	HCK	21993313	TRRUST_from_CollecTRI
SPI1	HCK	21993313	TRRUST_from_CollecTRI
TP53	PLAGL1	11896574	TRRUST_from_CollecTRI
RELA	HPSE	14558943;17715045;22001963	TRRUST_from_CollecTRI
NFKB1	HPSE	14558943;17715045;22001963	TRRUST_from_CollecTRI
SOX2	DKK1	22015605	TRRUST_from_CollecTRI
SP1	PSIP1	22019592;22615874;23386123	TRRUST_from_CollecTRI
PGR	DUSP1	22020934	TRRUST_from_CollecTRI
RORA	NR1D1	12377782;22024429	TRRUST_from_CollecTRI
KLF10	EGFR	22025675	TRRUST_from_CollecTRI
ATF4	APOE	22028770	TRRUST_from_CollecTRI
TWIST1	ESR1	22056872;22457607	TRRUST_from_CollecTRI
RELA	IL12A	14568984;17579043;17982049;18690006;19122653;19164128;19185846;20876114;22070873	TRRUST_from_CollecTRI
VHL	TP53	22071692	TRRUST_from_CollecTRI
ETV4	EGLN1	22075993	TRRUST_from_CollecTRI
FOS	MMP7	11774399;22076613	TRRUST_from_CollecTRI
SP1	FAS	10022897;10871852;22084312;9261184;9300785	TRRUST_from_CollecTRI
PCGF2	HOXA7	22085718	TRRUST_from_CollecTRI
ATF6	BGLAP	22102412	TRRUST_from_CollecTRI
STAT3	NOX1	19834108;22120521	TRRUST_from_CollecTRI
GATA3	FOXC1	22120723;25303530	TRRUST_from_CollecTRI
ATF4	MCL1	22128141	TRRUST_from_CollecTRI
TCF12	CDH1	22130667	TRRUST_from_CollecTRI
E2F1	MCPH1	22136275	TRRUST_from_CollecTRI
ERG	PIM1	22140532	TRRUST_from_CollecTRI
EZH2	ALDH1A1	22144423	TRRUST_from_CollecTRI
EZH2	DACT3	22144423	TRRUST_from_CollecTRI
EZH2	SSTR1	22144423	TRRUST_from_CollecTRI
MYC	BAG2	22146591	TRRUST_from_CollecTRI
SP1	BAG2	22146591	TRRUST_from_CollecTRI
YY1	GBP1	22162832	TRRUST_from_CollecTRI
NHLH2	MAOA	22169038	TRRUST_from_CollecTRI
SP1	CERS2	22169644	TRRUST_from_CollecTRI
KLF6	CERS2	22169644	TRRUST_from_CollecTRI
PIAS3	ESR1	22174013	TRRUST_from_CollecTRI
NR2E3	ESR1	22174013	TRRUST_from_CollecTRI
MTA1	RNF144A	22184113	TRRUST_from_CollecTRI
MTA1	EPHA2	22184117	TRRUST_from_CollecTRI
HIC1	EPHA2	22184117	TRRUST_from_CollecTRI
RELA	NAMPT	16701870;22186408	TRRUST_from_CollecTRI
RELA	CCL3	11342414;11716760;16982926;17707233;22187158	TRRUST_from_CollecTRI
ARX	LMO1	22194193;22355284;23771350	TRRUST_from_CollecTRI
ARX	SHOX2	22194193;23771350	TRRUST_from_CollecTRI
AR	SRD5A3	22194926	TRRUST_from_CollecTRI
