source_genesymbol	target_genesymbol	consensus_stimulation	consensus_inhibition	references	sources
RELA	CD40	0	0	10075983;11313274;17031478;19164127;9733827	ExTRI;TRRUST
RELA	IFNG	0	0	10075983;10227974;12105194;12757742;12759422;12842891;14662860;17035338;17407192;18690006;19732956;19929594;20643337;21224476;21243522;23195252;23667107;9374532	CytReg;DoRothEA-A;ExTRI;GEREDB;HTRI;TRRUST
TEAD1	TGFA	0	0	10076050	ExTRI;NTNU.Curated
TFAP2A	TGFA	0	0	10076050;11952158;18579641;9162057;9174059	ExTRI
PPARA	NR1D1	0	0	10076997	ExTRI;NTNU.Curated
ESR2	RARA	0	0	10076999	ExTRI
ESR1	RARA	0	0	10076999;11038749;15831516;15870697;18414489;8300756;8732679;8912864;9626663	DoRothEA-A;ExTRI;GEREDB;GOA;TRRUST
RARA	ESR1	0	0	9626663	ExTRI
NR3C1	IRS2	0	0	10077005	ExTRI;NTNU.Curated
PGR	IRS2	0	0	10077005;14534541;18819936	ExTRI;GEREDB;NTNU.Curated;TRRUST
NRG1	UTRN	0	0	10077665;10359616;11755781	ExTRI
NRG1	CHRNE	0	0	10077665;9099674	ExTRI
TBP	GTF2A1	0	0	10078202;10523649;10581267;10617594;10675336;10985861;16412700;1644819;18206971;7823952;7969171;8051080;8552077;8626665;8751448;9003783;9343426;9566876;9603936	ExTRI
GTF2A1	TBP	0	0	12818428	TRRUST
REL	NOS2	0	0	10079054;23646894;24360823;7537042	ExTRI;NTNU.Curated
PAX6	KRT12	0	0	10079137;27818314;9856765	ExTRI;GEREDB;Pavlidis2021;TRRUST
ISL1	NHLH1	0	0	10079519	ExTRI
RARA	KRAS	0	0	10080908	ExTRI
RUNX1	KRAS	0	0	10080908	ExTRI
ZBTB14	MYC	0	0	10080939;10936031;8367294;9092617;9618270	ExTRI;GOA;SIGNOR
MYB	EPO	0	0	10082121	ExTRI
MYC	EPO	0	0	10082121	ExTRI
SP1	NF1	0	0	10082137;10435592;11145742;11433027;12234688;12568725;14647436;18342022;18440323;2403642;8065328;8089200;9287317	ExTRI;TFactS;TRRUST
